Account Name,Corporate Structure,Certified B Corp,State of Incorporation,Operating State/Province,Operating Country,Website
1981,Benefit Corporation,FALSE,NY,,,
#BMA&D (Best Mobile Auto & Diesel Repair),Benefit Corporation,FALSE,CO,Colorado,United States,
#Club Co. Public Benefit Corporation,Benefit Corporation,FALSE,CO,,,
#Koldst Foods LLC,Benefit LLC,FALSE,OR,,,
$Tronghold Inc.,Benefit Corporation,FALSE,NV,,,
"@Thefrontier, Inc.",Benefit Corporation,FALSE,CA,California,United States,
"10 Botanicals, LLC",Benefit LLC,FALSE,OR,,,
10 Plex LLC,Benefit LLC,FALSE,OR,,,
100 Years of Sun,Benefit Corporation,FALSE,VT,Vermont,United States,www.100yearsofsun.com
101 Incubator Inc,Benefit Corporation,FALSE,CA,California,United States,
"1051, PBC",Benefit Corporation,FALSE,DE,,,
12Th Street Catering,Benefit Corporation,FALSE,PA,Pennsylvania,United States,www.12thstreetcatering.com
147 Rockaway Holdings Corp.,Benefit Corporation,FALSE,NY,,,
1512/1514 WASHINGTON AVENUE INC.,Benefit Corporation,FALSE,NY,,,
15Th Avenue LLC,Benefit LLC,FALSE,OR,Oregon,United States,
"1776 Global, Inc. PBC",Benefit Corporation,FALSE,DE,,,
1824 Inc.,Benefit Corporation,FALSE,CO,,,
"19 Ideas, Inc.",Benefit Corporation,FALSE,NY,New York,United States,19ideas.com
"2 Lee's Garden, Gifts, & Baskets, Inc.",Benefit Corporation,FALSE,NH,New Hampshire,United States,
2 Lucho'S Inc,Benefit Corporation,FALSE,CO,,,
2000 Se 10Th Avenue LLC,Benefit LLC,FALSE,OR,,,
2005 MANAGEMENT DISBURSEMENTS CORP.,Benefit Corporation,FALSE,NY,,,
2100 Consulting Public Benefit Corporation,Benefit Corporation,FALSE,CO,Colorado,United States,
24/7 Apollo Healthcare Inc.,Benefit Corporation,FALSE,NV,,,
2417 Pbc,Benefit Corporation,FALSE,DE,,,
279-401K Co.,Benefit Corporation,FALSE,CO,Colorado,United States,
"285 Landing, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,
"2Nourish, Inc.",Benefit Corporation,FALSE,CA,California,United States,
2Rewear Inc. Public Benefit Corporation,Benefit Corporation,FALSE,DE,New Jersey,United States,2rewear.com
2The5Th Entertainment,Benefit Corporation,FALSE,CA,California,United States,
3 Rivers Game Birds & Hunting Guides LLC,Benefit LLC,FALSE,OR,,,
300X2050 Inc.,Benefit Corporation,FALSE,DE,,,
"328 Ventures, LLC",Benefit LLC,FALSE,OR,,,
360 Carpentry LLC,Benefit LLC,FALSE,OR,,,
360 Degrees,Benefit Corporation,FALSE,NV,,,
399 BRADFORD ST INC,Benefit Corporation,FALSE,NY,,,
3D Counseling Services,Benefit Corporation,FALSE,IL,,,
3Degrees Group Inc.,Benefit Corporation,TRUE,CA,California,United States,www.3degreesinc.com
3Fourteen Tech Cooperative,Benefit Corporation,FALSE,AR,Arkansas,United States,3fourteen.co
"3P Partners, Inc.",Benefit Corporation,TRUE,NY,New York,United States,pipsrewards.com
3R Lake Bros Inc.,Benefit Corporation,FALSE,MA,Massachusetts,United States,
"3Rd Chance Ranch And Rehab, LLC",Benefit LLC,FALSE,OR,,,
3RD EYE NATION B CORPORATION CONGLOMERATE EMPIRE PROFESSIONAL SERVICES,Benefit Corporation,FALSE,NY,,,
"4 Trails Endeavors, LLC",Benefit LLC,FALSE,OR,,,
"42 Strategies, PBC",Benefit Corporation,FALSE,DE,,,
420EDC LTD,Benefit Corporation,FALSE,VT,Vermont,United States,
44 North Unmanned Aerial Systems Corporation,Benefit Corporation,FALSE,OR,,,
49 HAMILTON CORP.,Benefit Corporation,FALSE,NY,,,
"4Jays Home Remodeling, Corp.",Benefit Corporation,FALSE,NY,,,
4P Foods,Benefit Corporation,FALSE,VA,Virginia,United States,
"4Real Prographics, Inc.",Benefit Corporation,FALSE,CO,,,
"4W Properties, LLC",Benefit LLC,FALSE,OR,,,
5:55 Society,Benefit LLC,FALSE,MD,Maryland,United States,www.555society.co
511 TRIANGLE SOUNDVIEW FOOD CORP,Benefit Corporation,FALSE,NY,,,
5280 Early Childhood Education Center II Inc.,Benefit Corporation,FALSE,CO,,,
"529 Clearinghouse, PBC",Benefit Corporation,FALSE,DE,,,
"5722 Labs, Inc.",Benefit Corporation,FALSE,DE,,,
59 Technology Exchange Inc,Benefit Corporation,FALSE,NV,,,
"597 Fund, Inc.",Benefit Corporation,FALSE,DE,,,
"5Th Wave Feminist, PBC",Benefit Corporation,FALSE,DE,,,
623 CALEDONIA RD,Benefit Corporation,FALSE,NY,,,
7 And 3 Corporation,Benefit Corporation,FALSE,NV,,,
7 Elements Nevada Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
702 Glass & Windows Inc,Benefit Corporation,FALSE,NV,,,
8 Dollar Farm LLC,Benefit LLC,FALSE,OR,,,
8 Shields PDX,Benefit LLC,FALSE,OR,Oregon,United States,8spdx.com
808 Inc,Benefit Corporation,FALSE,CO,,,
81Doc.Com Inc,Benefit Corporation,FALSE,NV,,,
88 Spa Inc.,Benefit Corporation,FALSE,NY,,,
"930 N Holladay Dr, LLC",Benefit LLC,FALSE,OR,,,
"9b Group, Inc.",Benefit Corporation,FALSE,VA,"Washington, D.C.",United States,
A & A BLACK CAR SERVICE INC,Benefit Corporation,FALSE,NY,,,
"A & Associates, LLC",Benefit LLC,FALSE,OR,,,
A & C Big Batch Inc.,Benefit Corporation,FALSE,NV,,,
"A & V ELEVATOR COMPANY, INC.",Benefit Corporation,FALSE,NY,,,
A 1 Housekeeping Inc.,Benefit Corporation,FALSE,NV,,,
A 1 Travels Inc,Benefit Corporation,FALSE,NV,New Jersey,United States,
A 2 Serve Inc.,Benefit Corporation,FALSE,CO,,,
A Bookkeeping Service LLC,Benefit LLC,FALSE,OR,,,
A Brighter Future Inc,Benefit Corporation,FALSE,CO,,,
A Happy Life Inc,Benefit Corporation,FALSE,CT,Connecticut,United States,
"A Kindness Collective, Inc.",Benefit Corporation,FALSE,DE,,,
A Nolan Transportation Services Corporation,Benefit Corporation,FALSE,NV,,,
A One Auto Repair Shop inc,Benefit Corporation,FALSE,NY,,,
"A Pinpoint, PBC",Benefit Corporation,FALSE,DE,,,
A PROMISING FUTURE INC,Benefit Corporation,FALSE,NY,,,
A&D Transport LLC,Benefit LLC,FALSE,OR,,,
A&J Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,
A&S Drywall Texturing Inc,Benefit Corporation,FALSE,CO,Colorado,United States,
A&W Tax Services Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
A. M. Transport Inc.,Benefit Corporation,FALSE,CO,,,
A.C.G. Electric Co. Inc.,Benefit Corporation,FALSE,NY,,,
A.J. Entertainment Inc,Benefit Corporation,FALSE,NV,,,
A.N. Electrical Sign & Lighting LLC,Benefit LLC,FALSE,OR,,,
A.P.Y. LLC,Benefit LLC,FALSE,OR,,,
A.W.O.L. (Alternative Wellness Options Lounge),Benefit Corporation,FALSE,CO,,,
A.Zamler Inc,Benefit Corporation,FALSE,NV,,,
A1 Tax & Bookkeeping.Com Inc,Benefit Corporation,FALSE,NV,,,
A-1 Towing & Auto Repair Inc.,Benefit Corporation,FALSE,NY,,,
"A2Z Business Loans, Inc.",Benefit Corporation,FALSE,OR,,,
A2Z Logistics Corp,Benefit Corporation,FALSE,CO,,,
Aaa Transportations Inc,Benefit Corporation,FALSE,NV,,,
"Aabc, Inc.",Benefit Corporation,FALSE,OR,,,
Aable Septic LLC,Benefit LLC,FALSE,OR,,,
"AAQOM, Inc",Benefit Corporation,FALSE,NH,,,
Aaron Mazza Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
AB Productions Las Vegas Inc,Benefit Corporation,FALSE,NV,,,
Ab Service Inc,Benefit Corporation,FALSE,CO,,,
Abacus Capital Management,Benefit Corporation,FALSE,NV,,,
"Abc Automotive Investments, Inc.",Benefit Corporation,FALSE,NV,,,
Abetta Plumbing and Drain Inc,Benefit Corporation,FALSE,NY,,,
"Able Made, PBC",Benefit Corporation,FALSE,DE,,,
"Abo International Trading Co., LLC",Benefit LLC,FALSE,OR,Oregon,United States,
Above Par Investments Inc.,Benefit Corporation,FALSE,CO,,,
"Abrp, Inc",Benefit Corporation,FALSE,DE,,,
Acacian Partners Inc.,Benefit Corporation,FALSE,NV,,,
Academic Evolution Inc.,Benefit Corporation,FALSE,NY,,,
Academy Of Fashion Arts And Sciences Inc.,Benefit Corporation,FALSE,DE,,,
Accel Financial Management,Benefit Corporation,FALSE,CO,Colorado,United States,
Accelerate Brain Cancer Cure Commercial (ABC3),Benefit Corporation,FALSE,DE,District of Columbia,United States,www.abc2.org
"Accent Learning Systems, Inc.",Benefit Corporation,FALSE,CO,,,
Access Granted,Benefit Corporation,FALSE,MA,,,
Accurate Tax & Legal Services Inc.,Benefit Corporation,FALSE,NV,,,
Ace Customer Service Corp,Benefit Corporation,FALSE,NV,,,
"Ace Educational Services, Inc.",Benefit Corporation,FALSE,CO,,,
"Ace Hospitality Service Group, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Ace Software Solutions Corp,Benefit Corporation,FALSE,NV,,,
Aces Home Health Services Incorporated,Benefit Corporation,FALSE,NV,,,
Acme Hemp Co.,Benefit Corporation,FALSE,CO,Colorado,United States,
Acme Office.Com,Benefit Corporation,FALSE,NV,,,
Acorn Sign Graphics,Benefit Corporation,TRUE,VA,Virginia,United States,www.acornsign.com
Acrx Specialty Pharmacy Inc,Benefit Corporation,FALSE,NV,,,
Action Property Services LLC,Benefit LLC,FALSE,OR,,,
Action Retail Solutions Inc,Benefit Corporation,FALSE,OR,,,
Activate Workforce Solutions PBC,Benefit Corporation,FALSE,CO,,,
Active Controls Electric Inc,Benefit Corporation,FALSE,NV,,,
Active Therapy Professionals Inc,Benefit Corporation,FALSE,CO,,,
actNOW,Benefit Corporation,FALSE,VA,Virginia,United States,
Actuarial Group Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
AcuExpress GBC,Benefit Corporation,FALSE,MN,,,
"Ada Carriers, Inc.",Benefit Corporation,FALSE,NV,,,
Adams Fluid Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
"Adaptation, Inc.",Benefit Corporation,FALSE,NY,New York,United States,www.adaptation-inc.com
"Adara Oaks Hospice & Palliative Care, LLC",Benefit LLC,FALSE,OR,,,
Admit Path Inc.,Benefit Corporation,FALSE,DE,,,
Adr Import Usa,Benefit Corporation,FALSE,NV,,,
Advance Humanity,Benefit Corporation,TRUE,VT,Vermont,United States,advancehumanity.com
Advanced Bookkeeping Service Inc.,Benefit Corporation,FALSE,NV,,,
Advanced Motors Inc,Benefit Corporation,FALSE,OR,,,
Advanced Vapor Distribution Inc.,Benefit Corporation,FALSE,NV,,,
Advantage Health Advisers Of Nevada Co.,Benefit Corporation,FALSE,NV,,,
Advantage Massage Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
AdviceGuild,Benefit Corporation,FALSE,DE,Pennsylvania,United States,www.adviceguild.com
Advisory Consulting Group Inc.,Benefit Corporation,FALSE,AR,,,
"Aelius Global Fund, Public Benefit Corporation",Benefit Corporation,FALSE,DE,,,
"AEON Apparel, Inc.",Benefit Corporation,FALSE,NY,,,
"Aera Space Technologies, Inc.",Benefit Corporation,FALSE,CO,,,
"Aerial Revolution Challenges, Inc.",Benefit Corporation,FALSE,SC,,United States,
Aero Limited,Benefit Corporation,FALSE,CO,,,
"Affect Conf, LLC",Benefit LLC,TRUE,OR,Oregon,United States,affectconf.com
"Affiliated Health Centers Of Oregon, LLC",Benefit LLC,FALSE,OR,,,
"affirmhealth, inc.",Benefit Corporation,FALSE,DE,Tennessee,United States,affirmhealth.com
Afghanistan First,Benefit LLC,FALSE,MD,Maryland,United States,
Afik Solutions LLC,Benefit LLC,FALSE,OR,,,
Afrelip,Benefit Corporation,FALSE,MA,Massachusetts,United States,
Afro Voices Inc.,Benefit Corporation,FALSE,MA,Massachusetts,United States,
Afropolitan Youth Association Inc.,Benefit Corporation,FALSE,DE,Maryland,United States,
"Afthon, PBC",Benefit Corporation,FALSE,DE,Delaware,United States,afthon.com
Agarwal Associates Inc,Benefit Corporation,FALSE,OR,Oregon,United States,
Agate Health Solutions - P.C.,Benefit Corporation,FALSE,ID,Idaho,United States,
Agave Management Corporation,Benefit Corporation,FALSE,NV,Nevada,United States,
AGL Inc.,Benefit Corporation,FALSE,NV,,,
Agora Fund,Benefit Corporation,FALSE,DE,New York,United States,www.agorafund.org
"Agora, LLC",Benefit LLC,FALSE,OR,,,
Agredefined Inc.,Benefit Corporation,FALSE,DE,,,
"Agrinion, Inc",Benefit Corporation,FALSE,NH,New Hampshire,United States,
Agrodolce For Fast Foodies,Benefit Corporation,FALSE,NY,New York,United States,www.agrodolceforfastfoodies.com
"AGW Woodworkings, Inc.",Benefit Corporation,FALSE,NH,New Hampshire,United States,
Ahmad Traders,Benefit Corporation,FALSE,NV,,,
"Aid Connections, Inc",Benefit Corporation,FALSE,SC,,,
Aid Postal Key Logistics Inc,Benefit Corporation,FALSE,NV,,,
Aid Transport Inc.,Benefit Corporation,FALSE,NV,,,
"Aide, PBC",Benefit Corporation,FALSE,DE,,,
"Aidtree, Inc.",Benefit Corporation,FALSE,CA,California,United States,www.aidtree.com
"Aio Newco, Inc.",Benefit Corporation,FALSE,OR,,,
Aipiphany Inc.,Benefit Corporation,FALSE,DE,,,
"Air Force Auto Body, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Air Labs LLC,Benefit Corporation,FALSE,OR,,,
Air Pipe Technologies Incorporated,Benefit Corporation,FALSE,NV,,,
Airlifting,Benefit Corporation,FALSE,DE,,,
Airtech International Inc,Benefit Corporation,FALSE,NV,,,
Aj Promotional Products Inc.,Benefit Corporation,FALSE,OR,,,
Aja Organics PBC,Benefit Corporation,FALSE,DE,,,www.ajanaturals.com
Ajp Professional Services Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Ak Metal Works Inc.,Benefit Corporation,FALSE,OR,,,
Akerton LLC,Benefit LLC,FALSE,OR,,,
"Akz Paddle Company, Inc",Benefit Corporation,FALSE,CO,,,
"Al Complete Handymen,Inc.",Benefit Corporation,FALSE,CT,,,
Al Forno Ferruzza LLC,Benefit LLC,FALSE,OR,,,
"Al Mokha, PBC",Benefit Corporation,FALSE,DE,,,
"Ala Carte Learning Solutions, Inc., A Public Benefit Corporation",Benefit Corporation,FALSE,CO,,,
Alameda primary care clinic,Benefit Corporation,FALSE,CO,,,
Albatros Inc,Benefit Corporation,FALSE,NY,,,
Alberding Training And Coaching Corp.,Benefit Corporation,FALSE,OR,,,
Albond Technologies,Benefit Corporation,FALSE,CO,,,
Alchemy Mining Group Inc.,Benefit Corporation,FALSE,NV,British Columbia,Canada,
Aldatu Biosciences Inc.,Benefit Corporation,FALSE,DE,,,www.aldatubio.com
Alder Village Inc,Benefit Corporation,FALSE,OR,,,
"Alderslope, LLC",Benefit LLC,FALSE,OR,,,
Alen Us 8 Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Aleria Pbc,Benefit Corporation,FALSE,DE,,,
Aletruism Brewing LLC,Benefit Corporation,FALSE,OR,,,
"Alex Grey, Inc.",Benefit Corporation,FALSE,NV,,,
"Alfons-Morris, Ltd.",Benefit Corporation,FALSE,DE,,,
